Date,Open,High,Low,Close,Adj Close,Volume
2022-03-03,29.549999,29.850000,27.299999,27.299999,27.299999,37768
2022-03-04,26.549999,27.000000,24.450001,25.049999,25.049999,26815
2022-03-07,25.500000,27.750000,24.900000,25.650000,25.650000,23438
2022-03-08,25.650000,27.000000,24.750000,26.100000,26.100000,20097
2022-03-09,27.150000,27.299999,26.250000,26.700001,26.700001,15241
2022-03-10,27.750000,27.750000,24.900000,25.350000,25.350000,14743
2022-03-11,26.250000,26.250000,24.750000,24.900000,24.900000,13403
2022-03-14,25.500000,25.500000,22.500000,23.250000,23.250000,27275
2022-03-15,23.400000,24.750000,23.250000,24.450001,24.450001,19410
2022-03-16,25.350000,26.850000,25.049999,26.250000,26.250000,18117
2022-03-17,26.400000,27.750000,26.400000,27.600000,27.600000,17843
2022-03-18,27.600000,29.850000,27.000000,29.250000,29.250000,48690
2022-03-21,29.700001,30.299999,27.750000,29.549999,29.549999,22648
2022-03-22,30.000000,30.750000,28.950001,29.400000,29.400000,17121
2022-03-23,30.000000,30.299999,28.500000,30.000000,30.000000,11527
2022-03-24,29.100000,30.299999,28.650000,29.100000,29.100000,15859
2022-03-25,28.500000,29.250000,27.000000,27.450001,27.450001,15599
2022-03-28,27.600000,27.900000,25.950001,26.700001,26.700001,16782
2022-03-29,26.549999,30.000000,26.250000,27.600000,27.600000,36188
2022-03-30,27.600000,28.500000,27.150000,27.299999,27.299999,8887
2022-03-31,28.500000,28.500000,25.799999,26.250000,26.250000,15936
2022-04-01,26.549999,26.850000,25.799999,26.100000,26.100000,10711
2022-04-04,27.000000,27.000000,25.650000,26.250000,26.250000,11935
2022-04-05,24.750000,25.049999,24.000000,24.000000,24.000000,24885
2022-04-06,24.299999,25.049999,24.000000,24.299999,24.299999,11018
2022-04-07,24.750000,24.750000,22.950001,23.700001,23.700001,18413
2022-04-08,24.150000,24.150000,23.100000,23.850000,23.850000,10909
2022-04-11,24.150000,24.150000,22.650000,22.650000,22.650000,11660
2022-04-12,25.049999,25.049999,22.650000,22.799999,22.799999,13449
